"Action","Action"
"Add Voucher","Add Voucher"
"An error occurred while updating the voucher.","An error occurred while updating the voucher."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Code","Code"
"Could not find voucher to delete.","Could not find voucher to delete."
"Created at","Created at"
"Delete Voucher","Delete Voucher"
"Delete","Delete"
"Disabled","Disabled"
"Edit Voucher '%s'","Edit Voucher '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving voucher","Error saving voucher"
"Excel","Excel"
"Fecha","Fecha"
"Home","Home"
"Id Voucher","Id Voucher"
"Id","Id"
"Mensaje","Mensaje"
"No","No"
"None","None"
"Número de orden","Número de orden"
"Please select voucher to delete.","Please select voucher to delete."
"Please select voucher.","Please select voucher."
"Reference","Reference"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Voucher","Save Voucher"
"Status","Status"
"Store views","Store views"
"Success","Success"
"The voucher has been deleted.","The voucher has been deleted."
"There was a problem saving the voucher.","There was a problem saving the voucher."
"There was an error deleting voucher.","There was an error deleting voucher."
"There was an error updating voucher.","There was an error updating voucher."
"This voucher no longer exists.","This voucher no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d voucher were successfully deleted.","Total of %d voucher were successfully deleted."
"Total of %d voucher were successfully updated.","Total of %d voucher were successfully updated."
"Unable to find voucher to save.","Unable to find voucher to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"Voucher was saved","Voucher was saved"
"Voucher was successfully deleted.","Voucher was successfully deleted."
"Voucher was successfully saved","Voucher was successfully saved"
"Voucher","Voucher"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
